#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Mookie Betts,LAD,149,661,566,160,35,2,33,111,94,80,104,8,13,3,12.20%,15.70%,0.243,0.294,0.283,0.378,0.527,0.905,0.385,146,5,2.15,-0.48,0.86
2,Marcus Semien,TEX,153,680,609,161,34,3,27,100,86,61,110,4,15,4,9.00%,16.20%,0.198,0.281,0.264,0.333,0.462,0.795,0.341,115,30.5,2.08,0.02,0.64
3,Jose Altuve,HOU,139,615,544,150,29,1,24,96,72,61,99,7,14,4,9.90%,16.10%,0.19,0.298,0.276,0.354,0.465,0.82,0.354,127,43,2.82,0.31,0.6
4,Ozzie Albies,ATL,148,642,584,159,33,4,27,94,93,45,108,6,13,4,7.00%,16.90%,0.207,0.291,0.273,0.327,0.479,0.807,0.343,114,22.5,1.26,0.2,0.54
5,Andrés Giménez,CLE,143,592,533,141,28,4,16,76,66,33,113,18,26,6,5.70%,19.10%,0.158,0.305,0.264,0.327,0.422,0.749,0.324,108,103.2,3.69,-1.09,0.86
6,Ketel Marte,ARI,143,617,545,149,33,5,19,84,76,62,104,6,7,2,10.00%,16.90%,0.184,0.304,0.273,0.35,0.457,0.808,0.348,118,120,3.07,-1.23,0.56
7,Nico Hoerner,CHC,146,640,578,163,28,4,9,83,62,46,78,11,34,7,7.10%,12.20%,0.107,0.311,0.281,0.343,0.389,0.732,0.321,102,65.3,2.35,-3.65,1.6
8,Gleyber Torres,NYY,146,622,555,149,27,1,24,82,77,57,107,3,13,5,9.20%,17.30%,0.181,0.293,0.269,0.338,0.45,0.788,0.34,115,83.8,3.19,-0.78,0.18
9,Matt McLain,CIN,132,581,512,132,28,4,22,80,73,56,158,9,20,5,9.60%,27.10%,0.196,0.33,0.258,0.34,0.454,0.794,0.343,110,67.6,2.47,-0.06,0.42
10,Edouard Julien,MIN,131,544,455,112,23,1,16,73,54,78,162,5,8,2,14.40%,29.80%,0.165,0.34,0.246,0.36,0.41,0.77,0.34,118,215.8,4.05,-0.09,0.44
11,Ha-Seong Kim,SDP,145,601,527,130,26,2,15,74,60,60,115,6,27,6,10.10%,19.10%,0.139,0.287,0.246,0.328,0.385,0.712,0.313,97,87.3,2.58,-0.07,1.1
12,Luis Arraez,MIA,143,615,560,178,30,3,8,75,62,45,40,4,4,2,7.30%,6.50%,0.108,0.329,0.317,0.37,0.425,0.795,0.344,116,163.3,2.37,0.28,2.1
13,Zack Gelof,OAK,136,589,528,129,28,2,19,72,62,52,170,4,21,5,8.90%,28.90%,0.171,0.32,0.244,0.315,0.415,0.73,0.317,105,136.3,3,1.21,0.77
14,Jorge Polanco,SEA,125,535,473,116,23,1,21,65,68,54,125,4,6,2,10.10%,23.40%,0.185,0.287,0.245,0.324,0.43,0.755,0.327,112,250.1,2.44,-0.21,0.36
15,Bryson Stott,PHI,141,588,535,142,29,3,13,72,62,42,102,4,22,4,7.20%,17.30%,0.134,0.305,0.266,0.322,0.4,0.722,0.314,95,109.7,3.2,0.35,0.88
16,Nolan Gorman,STL,129,526,468,112,21,1,28,70,75,51,161,4,7,2,9.70%,30.60%,0.225,0.299,0.24,0.318,0.465,0.783,0.335,111,191.9,2.71,0.61,0.81
17,Brandon Lowe,TBR,114,478,417,99,20,1,22,63,65,50,125,7,6,1,10.60%,26.10%,0.212,0.281,0.237,0.327,0.448,0.775,0.334,111,268.6,2.8,0.02,0.48
18,Davis Schneider,TOR,99,404,348,81,19,1,17,50,50,48,113,5,5,1,11.90%,28.00%,0.205,0.292,0.233,0.332,0.438,0.77,0.334,114,419.1,4.12,-0.43,0.42
19,Tommy Edman,STL,133,542,495,129,27,4,12,72,54,36,88,6,27,5,6.60%,16.30%,0.143,0.294,0.261,0.317,0.404,0.72,0.313,96,175.1,2.45,-0.5,1.15
20,Gavin Lux,LAD,112,445,396,104,20,4,10,58,48,43,92,2,8,2,9.70%,20.60%,0.145,0.316,0.262,0.336,0.407,0.743,0.324,104,264.3,3.96,-0.29,0.69
21,Thairo Estrada,SFG,133,568,521,136,25,3,15,70,59,32,112,11,23,6,5.60%,19.80%,0.142,0.305,0.261,0.315,0.403,0.718,0.312,96,134.3,2.15,-0.15,0.84
22,Jordan Westburg,BAL,110,431,389,98,22,2,12,51,50,34,106,5,7,2,7.80%,24.60%,0.163,0.314,0.253,0.317,0.416,0.733,0.318,103,317.3,4.92,1.32,0.5
23,Luis Rengifo,LAA,132,531,482,124,21,3,17,64,60,37,95,6,8,3,7.00%,17.90%,0.164,0.285,0.256,0.315,0.42,0.735,0.318,99,240.3,2.59,0.32,0.19
24,Jeff McNeil,NYM,134,559,506,141,28,2,9,64,55,36,61,12,6,1,6.50%,10.80%,0.116,0.302,0.28,0.341,0.395,0.736,0.323,103,292.5,2.71,0.11,1.03
25,Brendan Donovan,STL,113,467,406,112,20,1,10,61,47,46,71,11,6,2,9.90%,15.20%,0.127,0.311,0.275,0.362,0.402,0.764,0.337,113,291.2,5.3,-0.97,0.9
26,Jonathan India,CIN,123,527,457,116,24,1,17,71,61,51,112,15,11,3,9.60%,21.20%,0.167,0.299,0.254,0.345,0.421,0.766,0.335,105,262.8,2.16,0.39,0.29
27,Brendan Rodgers,COL,122,510,467,129,27,2,14,62,60,34,99,6,0,0,6.80%,19.30%,0.158,0.321,0.276,0.331,0.434,0.765,0.331,92,342.3,3.23,-0.73,0.76
28,Luis Urías,SEA,89,346,299,67,13,1,10,38,36,36,80,8,2,1,10.30%,23.20%,0.152,0.271,0.225,0.322,0.377,0.7,0.31,100,581.1,3.21,-0.31,0.61
29,Michael Massey,KCR,111,445,407,101,22,1,14,49,54,26,96,6,6,2,5.90%,21.60%,0.162,0.289,0.248,0.3,0.41,0.71,0.306,91,396.8,2.25,-0.31,0.42
30,Brandon Drury,LAA,127,526,484,122,25,2,23,65,74,31,130,6,1,1,5.90%,24.70%,0.203,0.295,0.251,0.303,0.454,0.757,0.323,103,220.1,1.98,0.78,0.57
31,Brice Turang,MIL,118,456,409,99,18,3,8,51,42,40,93,2,20,4,8.80%,20.40%,0.115,0.293,0.242,0.311,0.357,0.668,0.294,82,340.2,2.85,-0.81,1.18
32,Luis García Jr.,WSN,115,467,435,119,23,3,10,54,51,25,71,2,7,3,5.40%,15.10%,0.136,0.304,0.273,0.313,0.409,0.722,0.311,93,398,3.3,-1.25,0.86
33,José Caballero,TBR,86,297,253,57,12,1,5,37,27,32,68,9,22,4,10.60%,23.10%,0.121,0.285,0.227,0.33,0.348,0.678,0.304,91,386.4,3.84,0.72,1.62
34,Joey Ortiz,MIL,93,327,299,77,17,2,6,38,35,21,67,3,5,1,6.40%,20.40%,0.128,0.309,0.257,0.308,0.385,0.693,0.301,87,434.3,3.73,-0.55,1.03
35,Cavan Biggio,TOR,96,360,308,70,15,1,9,46,37,43,95,5,5,1,12.00%,26.30%,0.143,0.293,0.226,0.328,0.368,0.697,0.31,97,454.9,1.63,1.12,0.58
36,Santiago Espinal,TOR,79,285,259,68,14,0,4,31,28,21,41,2,4,2,7.20%,14.40%,0.099,0.297,0.261,0.319,0.359,0.678,0.299,89,734.6,2.38,-0.14,1.28
37,Josh Rojas,SEA,82,311,277,66,14,1,5,37,29,29,70,1,10,2,9.30%,22.40%,0.112,0.298,0.239,0.311,0.352,0.663,0.292,88,488.4,2.37,0.98,1.14
38,Elvis Andrus,ARI,75,292,269,67,13,1,5,33,29,18,50,3,8,2,6.20%,17.00%,0.118,0.287,0.25,0.302,0.367,0.669,0.293,83,710,5.32,0.37,1.22
39,Kyle Farmer,MIN,73,279,254,63,12,1,6,32,32,16,58,6,2,1,5.70%,20.60%,0.13,0.293,0.247,0.305,0.377,0.682,0.298,89,480.4,3.47,-0.2,1.01
40,Andy Ibáñez,DET,69,266,244,62,13,1,7,29,29,18,46,2,2,1,6.90%,17.40%,0.147,0.289,0.255,0.311,0.402,0.713,0.31,96,675.5,1.97,0.82,1.16
41,Zach McKinstry,DET,93,363,325,77,15,3,8,42,32,30,81,4,10,3,8.30%,22.40%,0.14,0.29,0.236,0.306,0.377,0.683,0.299,88,425.6,2.76,0.17,0.95
