#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Adley Rutschman,BAL,143,602,516,140,31,1,1900.00%,7800.00%,70,76,95,5,2,1,12.70%,15.70%,0.172,0.298,0.271,0.367,0.443,0.81,0.352,127,52.3,3.16,-2.55,0.61
2,Will Smith,LAD,125,516,442,116,23,2,2100.00%,7000.00%,75,55,87,12,2,1,10.70%,16.90%,0.206,0.278,0.262,0.355,0.468,0.822,0.353,124,86.3,2.19,0.05,0.49
3,William Contreras,MIL,141,584,517,141,28,1,2200.00%,7700.00%,74,58,131,5,4,1,9.90%,22.40%,0.187,0.323,0.272,0.349,0.459,0.808,0.349,119,77.9,2.51,-0.47,0.52
4,Sean Murphy,ATL,118,473,409,103,23,1,2000.00%,6400.00%,66,48,106,12,0,0,10.20%,22.30%,0.211,0.29,0.253,0.347,0.464,0.811,0.35,118,143.3,3.73,-0.31,0.41
5,J.T. Realmuto,PHI,133,525,474,122,24,3,2000.00%,6900.00%,69,38,127,9,15,4,7.20%,24.10%,0.19,0.307,0.257,0.321,0.447,0.768,0.329,105,74.4,3.9,-0.09,0.27
6,Willson Contreras,STL,119,480,414,105,21,1,2000.00%,6200.00%,64,47,109,14,5,2,9.90%,22.70%,0.202,0.296,0.254,0.349,0.457,0.805,0.349,121,138.2,2.06,-0.03,0.26
7,Gabriel Moreno,ARI,124,468,422,121,23,1,1000.00%,5200.00%,56,36,85,5,6,2,7.60%,18.30%,0.13,0.334,0.286,0.345,0.416,0.761,0.332,107,152.5,2.5,1.01,1.09
8,Cal Raleigh,SEA,128,506,454,103,23,1,2600.00%,6100.00%,70,44,138,3,1,0,8.80%,27.40%,0.228,0.26,0.226,0.297,0.454,0.752,0.32,107,140.5,3.06,-1.06,1.01
9,Yainer Diaz,HOU,117,452,424,116,22,1,2100.00%,5700.00%,68,20,87,4,1,0,4.40%,19.30%,0.208,0.296,0.273,0.309,0.481,0.79,0.335,114,109.5,3.01,0.73,0.74
10,Jonah Heim,TEX,123,479,435,108,22,1,1700.00%,5400.00%,65,39,92,2,2,1,8.00%,19.30%,0.176,0.275,0.248,0.31,0.424,0.734,0.316,98,173.2,1.51,-0.57,0.35
11,Logan O'Hoppe,LAA,112,446,397,100,17,1,2100.00%,5400.00%,62,40,95,6,2,1,9.00%,21.30%,0.21,0.279,0.253,0.329,0.463,0.792,0.34,115,153.6,2.73,-0.7,0.51
12,Bo Naylor,CLE,116,440,381,88,19,2,1600.00%,5200.00%,54,53,111,4,7,2,11.90%,25.30%,0.182,0.281,0.23,0.328,0.413,0.74,0.323,107,164.2,3.65,0.57,0.43
13,Alejandro Kirk,TOR,96,363,319,85,16,0,1000.00%,3900.00%,42,37,41,4,0,0,10.30%,11.20%,0.143,0.278,0.267,0.349,0.409,0.758,0.332,113,267.5,1.77,0.29,0.94
14,Ryan Jeffers,MIN,103,385,339,81,15,1,1700.00%,4600.00%,48,36,107,6,2,1,9.40%,27.80%,0.199,0.299,0.24,0.323,0.439,0.763,0.33,111,249,3.7,0.4,0.5
15,Danny Jansen,TOR,95,359,318,75,16,0,1900.00%,4600.00%,54,31,73,7,1,0,8.70%,20.30%,0.227,0.247,0.236,0.316,0.464,0.779,0.333,114,265.5,2.49,0,0.54
16,Francisco Alvarez,NYM,124,471,417,95,17,0,2400.00%,5700.00%,66,45,123,6,2,1,9.60%,26.00%,0.215,0.261,0.228,0.312,0.444,0.755,0.325,105,152.8,1.61,0.26,0.79
17,Shea Langeliers,OAK,120,461,419,93,19,2,2100.00%,4900.00%,57,34,132,4,3,1,7.30%,28.80%,0.205,0.268,0.221,0.284,0.426,0.71,0.303,96,248.2,1.91,-0.18,0.75
18,Tyler Stephenson,CIN,112,423,377,97,19,1,1200.00%,5000.00%,51,38,103,5,1,0,8.90%,24.40%,0.148,0.321,0.257,0.33,0.405,0.735,0.321,95,231.3,3.08,-0.13,0.52
19,Keibert Ruiz,WSN,124,500,459,121,24,0,1500.00%,5300.00%,60,32,54,6,2,1,6.40%,10.80%,0.153,0.269,0.263,0.317,0.416,0.733,0.317,97,168.4,2.77,-1.13,0.52
