#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Ronald Acuña Jr.,ATL,152,584,680,183,110,34,2,37,124,96,80,4,107,11,4,1,54,12,0.313
2,Aaron Judge,NYY,140,506,612,140,73,22,0,45,102,108,98,10,165,4,4,0,7,2,0.276
3,Mookie Betts,LAD,149,566,661,160,90,35,2,33,111,94,80,2,104,8,5,1,13,3,0.283
4,Juan Soto,NYY,153,529,665,148,83,27,2,37,105,100,127,9,110,4,4,1,11,4,0.28
5,Yordan Alvarez,HOU,139,505,598,150,79,31,2,39,95,107,78,6,117,10,5,0,1,0,0.296
6,Julio Rodríguez,SEA,151,598,662,168,100,33,3,32,99,92,50,5,156,10,3,1,32,8,0.28
7,José Ramírez,CLE,151,576,656,160,93,37,4,26,90,94,69,10,76,5,6,0,25,7,0.278
8,Corey Seager,TEX,129,501,566,148,85,32,1,30,84,88,54,6,91,5,5,1,2,1,0.295
9,Adley Rutschman,BAL,143,516,602,140,89,31,1,19,78,70,76,3,95,5,4,1,2,1,0.271
10,Freddie Freeman,LAD,153,587,677,180,113,39,2,26,109,96,75,9,108,9,4,1,15,3,0.307
11,Gunnar Henderson,BAL,143,540,611,141,81,28,6,26,89,79,62,1,153,5,3,1,12,3,0.261
12,Fernando Tatis Jr.,SDP,148,576,648,157,89,33,2,34,98,95,61,2,146,5,4,1,28,6,0.273
13,Corbin Carroll,ARI,148,555,633,154,92,30,8,23,101,77,60,2,131,11,3,3,46,6,0.278
14,Bobby Witt Jr.,KCR,152,604,657,169,100,33,7,29,98,90,40,2,121,6,6,1,42,10,0.28
15,Kyle Tucker,HOU,151,564,643,158,90,34,4,31,94,103,70,5,95,3,6,1,25,6,0.281
16,Austin Riley,ATL,153,592,665,165,94,32,2,38,100,103,57,3,159,10,6,0,2,1,0.279
17,Shohei Ohtani,LAD,139,513,605,144,74,27,5,38,100,99,84,10,147,4,3,1,18,7,0.28
18,Rafael Devers,BOS,149,573,645,161,91,35,1,35,93,99,60,7,123,8,4,1,4,2,0.282
19,Alex Bregman,HOU,149,555,652,146,91,31,2,23,92,86,83,1,79,8,5,1,2,1,0.264
20,Matt Olson,ATL,153,565,663,151,81,29,1,40,102,112,87,6,148,6,5,1,1,1,0.267
21,Francisco Lindor,NYM,153,576,653,146,89,28,2,27,92,88,61,2,125,9,6,1,22,5,0.254
22,Mike Trout,LAA,125,460,540,122,64,24,2,32,83,83,69,5,150,9,3,0,3,1,0.266
23,Marcus Semien,TEX,153,609,680,161,97,34,3,27,100,86,61,0,110,4,5,1,15,4,0.264
24,Will Smith,LAD,125,442,516,116,70,23,2,21,70,75,55,2,87,12,7,0,2,1,0.262
25,Trea Turner,PHI,153,612,667,172,111,34,4,23,98,83,45,1,133,5,4,1,28,4,0.28
26,Bryce Harper,PHI,147,532,632,151,87,34,1,29,95,93,89,8,135,5,6,1,13,4,0.285
27,Michael Harris II,ATL,147,558,602,161,101,35,3,22,89,80,34,2,121,6,3,1,24,5,0.288
28,Bo Bichette,TOR,146,595,638,173,114,35,2,22,86,83,36,0,126,3,3,1,11,4,0.291
29,Royce Lewis,MIN,131,505,559,137,81,27,2,26,78,81,46,1,125,5,2,1,13,4,0.271
30,Jose Altuve,HOU,139,544,615,150,96,29,1,24,96,72,61,1,99,7,3,1,14,4,0.276
31,Dansby Swanson,CHC,151,577,644,148,94,28,2,24,84,83,57,0,158,5,4,1,11,3,0.256
32,William Contreras,MIL,141,517,584,141,90,28,1,22,77,74,58,1,131,5,3,1,4,1,0.272
33,Luis Robert Jr.,CHW,143,556,602,149,87,31,2,30,85,84,33,3,155,9,3,0,19,5,0.269
34,Vladimir Guerrero Jr.,TOR,153,584,663,165,100,32,1,32,89,98,67,5,99,7,4,0,6,2,0.282
35,Ozzie Albies,ATL,148,584,642,159,96,33,4,27,94,93,45,1,108,6,7,1,13,4,0.273
36,Sean Murphy,ATL,118,409,473,103,59,23,1,20,64,66,48,1,106,12,3,0,0,0,0.253
37,Andrés Giménez,CLE,143,533,592,141,93,28,4,16,76,66,33,3,113,18,4,4,26,6,0.264
38,J.T. Realmuto,PHI,133,474,525,122,74,24,3,20,69,69,38,2,127,9,4,0,15,4,0.257
39,Xander Bogaerts,SDP,148,564,634,157,107,31,1,18,82,72,57,1,112,7,6,1,12,2,0.279
40,Brandon Nimmo,NYM,145,548,637,147,95,28,5,19,87,65,72,0,128,11,3,3,4,2,0.268
41,Ketel Marte,ARI,143,545,617,149,92,33,5,19,84,76,62,2,104,6,4,1,7,2,0.273
42,Nico Hoerner,CHC,146,578,640,163,122,28,4,9,83,62,46,2,78,11,4,1,34,7,0.281
43,Gleyber Torres,NYY,146,555,622,149,97,27,1,24,82,77,57,1,107,3,5,1,13,5,0.269
44,Willy Adames,MIL,145,548,618,132,76,29,1,27,78,85,62,2,161,3,4,0,6,2,0.241
45,Manny Machado,SDP,140,537,600,144,89,26,1,28,79,91,55,4,111,2,5,0,6,2,0.269
46,Carlos Correa,MIN,135,508,575,132,83,28,1,20,70,71,59,2,121,4,4,0,0,0,0.26
47,J.P. Crawford,SEA,145,538,625,137,94,29,1,13,80,58,75,1,109,7,4,3,3,1,0.255
48,Willson Contreras,STL,119,414,480,105,63,21,1,20,62,64,47,1,109,14,3,1,5,2,0.254
49,Nolan Arenado,STL,145,560,617,146,90,29,2,26,74,91,47,4,92,5,5,0,4,1,0.262
50,Yandy Díaz,TBR,137,513,594,151,105,29,1,17,82,68,71,1,86,6,3,1,1,1,0.294
51,Gabriel Moreno,ARI,124,422,468,121,87,23,1,10,52,56,36,0,85,5,4,1,6,2,0.286
52,Matt McLain,CIN,132,512,581,132,79,28,4,22,80,73,56,1,158,9,2,1,20,5,0.258
53,Pete Alonso,NYM,152,563,648,140,74,24,1,41,89,110,65,7,139,15,5,0,4,1,0.25
54,Jung Hoo Lee,SFG,134,521,581,149,100,35,4,10,70,59,49,3,53,5,3,3,9,3,0.286
55,Matt Chapman,SFG,125,479,551,112,61,26,2,24,69,70,61,0,156,7,4,0,3,1,0.234
56,Edouard Julien,MIN,131,455,544,112,71,23,1,16,73,54,78,1,162,5,3,2,8,2,0.246
57,Bryan Reynolds,PIT,148,567,642,152,95,30,4,24,86,81,61,3,137,9,4,1,10,2,0.269
58,Ha-Seong Kim,SDP,145,527,601,130,88,26,2,15,74,60,60,1,115,6,4,4,27,6,0.246
59,Cal Raleigh,SEA,128,454,506,103,52,23,1,26,61,70,44,1,138,3,4,0,1,0,0.226
60,Randy Arozarena,TBR,148,552,637,143,87,29,3,25,88,80,66,1,153,14,4,0,25,8,0.259
61,Yainer Diaz,HOU,117,424,452,116,71,22,1,21,57,68,20,1,87,4,4,1,1,0,0.273
62,Josh Jung,TEX,138,539,586,139,84,28,2,26,75,82,38,1,166,6,3,0,3,1,0.259
63,Paul Goldschmidt,STL,147,559,645,149,95,29,1,24,88,84,77,3,145,4,4,1,7,2,0.266
64,Riley Greene,DET,137,529,588,146,97,27,5,17,77,65,51,1,155,4,3,1,10,2,0.276
65,Jonah Heim,TEX,123,435,479,108,67,22,1,17,54,65,39,1,92,2,3,1,2,1,0.248
66,Ian Happ,CHC,149,548,635,137,84,30,3,20,79,76,76,2,148,6,4,1,11,3,0.251
67,Ke'Bryan Hayes,PIT,137,535,584,142,91,30,5,16,71,66,42,1,118,3,3,1,14,5,0.265
68,Anthony Volpe,NYY,142,514,577,120,71,27,3,19,71,65,51,0,145,7,4,2,24,5,0.233
69,Luis Arraez,MIA,143,560,615,178,136,30,3,8,75,62,45,5,40,4,4,1,4,2,0.317
70,Logan O'Hoppe,LAA,112,397,446,100,61,17,1,21,54,62,40,1,95,6,3,1,2,1,0.253
71,Max Muncy,LAD,129,457,547,102,53,19,1,28,78,82,79,2,138,7,4,0,2,1,0.223
72,Bo Naylor,CLE,116,381,440,88,51,19,2,16,52,54,53,1,111,4,2,1,7,2,0.23
73,Zach Neto,LAA,132,472,534,117,73,25,1,18,65,63,40,1,122,16,4,2,9,2,0.248
74,Isaac Paredes,TBR,132,468,541,113,66,23,1,24,66,75,57,0,95,11,4,1,1,0,0.242
75,Christian Yelich,MIL,145,542,632,142,94,28,2,18,92,68,81,5,144,5,3,1,22,5,0.262
76,Oneil Cruz,PIT,132,506,566,125,73,24,5,23,80,72,52,1,155,3,4,1,22,5,0.247
77,George Springer,TOR,133,519,584,134,86,24,2,22,81,69,54,1,109,6,4,1,13,4,0.258
78,Zack Gelof,OAK,136,528,589,129,79,28,2,19,72,62,52,1,170,4,3,2,21,5,0.244
