#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Ronald Acuña Jr.,ATL,152,680,584,183,34,2,37,124,96,80,107,11,54,12,11.70%,15.80%,0.254,0.329,0.313,0.403,0.567,0.97,0.41,159,1,5.62,-0.71,1.17
2,Aaron Judge,NYY,140,612,506,140,22,0,45,102,108,98,165,4,7,2,16.00%,26.90%,0.309,0.316,0.276,0.395,0.585,0.98,0.408,161,10.8,2.94,0.73,1.44
3,Mookie Betts,LAD,149,661,566,160,35,2,33,111,94,80,104,8,13,3,12.20%,15.70%,0.243,0.294,0.283,0.378,0.527,0.905,0.385,146,5,2.15,-0.48,0.86
4,Juan Soto,NYY,153,665,529,148,27,2,37,105,100,127,110,4,11,4,19.10%,16.60%,0.265,0.288,0.28,0.42,0.545,0.965,0.409,162,10.9,2.19,0.3,0.96
5,Yordan Alvarez,HOU,139,598,505,150,31,2,39,95,107,78,117,10,1,0,13.10%,19.50%,0.297,0.313,0.296,0.397,0.593,0.991,0.414,169,16.8,2.49,-0.05,1.5
6,Julio Rodríguez,SEA,151,662,598,168,33,3,32,99,92,50,156,10,32,8,7.60%,23.50%,0.223,0.329,0.28,0.345,0.503,0.848,0.36,135,3,2.61,-1.88,0.37
7,Fernando Tatis Jr.,SDP,148,648,576,157,33,2,34,98,95,61,146,5,28,6,9.50%,22.60%,0.24,0.309,0.273,0.346,0.514,0.859,0.364,132,7.9,4.75,-0.59,0.41
8,Corbin Carroll,ARI,148,633,555,154,30,8,23,101,77,60,131,11,46,6,9.50%,20.60%,0.212,0.324,0.278,0.359,0.49,0.848,0.363,128,5.5,2.38,0.42,1.38
9,Kyle Tucker,HOU,151,643,564,158,34,4,31,94,103,70,95,3,25,6,10.80%,14.90%,0.236,0.288,0.281,0.359,0.517,0.877,0.37,138,6.5,2.77,0.04,0.35
10,Mike Trout,LAA,125,540,460,122,24,2,32,83,83,69,150,9,3,1,12.70%,27.80%,0.271,0.321,0.266,0.369,0.537,0.906,0.382,144,72.3,3.11,-0.8,0.91
11,Bryce Harper,PHI,147,632,532,151,34,1,29,95,93,89,135,5,13,4,14.10%,21.40%,0.234,0.327,0.285,0.389,0.519,0.908,0.384,142,18.1,3.51,1.32,0.58
12,Michael Harris II,ATL,147,602,558,161,35,3,22,89,80,34,121,6,24,5,5.60%,20.10%,0.194,0.332,0.288,0.334,0.482,0.816,0.348,117,29.5,2.69,0.34,0.61
13,Luis Robert Jr.,CHW,143,602,556,149,31,2,30,85,84,33,155,9,19,5,5.50%,25.80%,0.223,0.32,0.269,0.319,0.492,0.811,0.343,117,33.8,2.23,-0.43,0.26
14,Brandon Nimmo,NYM,145,637,548,147,28,5,19,87,65,72,128,11,4,2,11.30%,20.00%,0.172,0.316,0.268,0.362,0.44,0.802,0.35,122,197.9,2.28,-0.36,0.68
15,Jung Hoo Lee,SFG,134,581,521,149,35,4,10,70,59,49,53,5,9,3,8.50%,9.20%,0.14,0.303,0.286,0.352,0.426,0.778,0.337,113,253.4,3.67,-0.39,1.12
16,Bryan Reynolds,PIT,148,642,567,152,30,4,24,86,81,61,137,9,10,2,9.40%,21.30%,0.195,0.313,0.269,0.347,0.463,0.81,0.348,117,93.3,1.69,0.16,0.39
17,Randy Arozarena,TBR,148,637,552,143,29,3,25,88,80,66,153,14,25,8,10.40%,24.10%,0.197,0.313,0.259,0.351,0.456,0.806,0.349,121,44.9,2.39,-0.38,0.61
18,Riley Greene,DET,137,588,529,146,27,5,17,77,65,51,155,4,10,2,8.70%,26.30%,0.167,0.358,0.276,0.343,0.443,0.786,0.34,116,169.1,2.66,0.33,0.59
19,Ian Happ,CHC,149,635,548,137,30,3,20,79,76,76,148,6,11,3,12.00%,23.30%,0.176,0.305,0.251,0.346,0.426,0.772,0.336,112,163.8,2.06,-2.5,0.45
20,Christian Yelich,MIL,145,632,542,142,28,2,18,92,68,81,144,5,22,5,12.90%,22.90%,0.159,0.325,0.262,0.361,0.421,0.782,0.341,114,82.2,1.73,1.16,0.81
21,George Springer,TOR,133,584,519,134,24,2,22,81,69,54,109,6,13,4,9.20%,18.70%,0.178,0.286,0.258,0.333,0.436,0.769,0.333,113,123.3,2.7,-0.28,0.29
22,Evan Carter,TEX,136,560,482,123,25,4,16,72,65,67,141,6,18,5,11.90%,25.20%,0.168,0.324,0.254,0.35,0.422,0.772,0.336,112,132.2,4.28,0.72,0.54
23,Nolan Jones,COL,139,578,503,135,28,3,24,81,78,68,166,5,19,4,11.70%,28.70%,0.212,0.354,0.27,0.36,0.481,0.842,0.361,112,56.2,2.09,-0.71,0.17
