#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Spencer Strider,ATL,15,6,3.39,30,30,0,0,178.2,717,134,73,67,20,59,1,7,251
2,Zack Wheeler,PHI,13,8,3.52,30,30,0,0,186.2,759,164,79,73,21,44,1,8,194
3,Logan Webb,SFG,12,10,3.42,30,30,0,0,193,791,183,80,73,16,41,1,7,172
4,Kevin Gausman,TOR,12,9,3.44,30,30,0,0,181.1,739,161,75,69,22,48,1,4,211
5,Aaron Nola,PHI,12,9,3.89,30,30,0,0,186,755,169,87,80,26,41,1,6,195
6,Pablo López,MIN,12,8,3.52,30,30,0,0,184.2,754,162,78,72,21,49,1,9,204
7,Gerrit Cole,NYY,14,8,3.51,31,31,0,0,195,784,164,83,76,27,49,1,6,218
8,George Kirby,SEA,12,9,3.57,30,30,0,0,181.1,730,171,78,72,22,27,1,7,171
9,Tarik Skubal,DET,10,9,3.44,28,28,0,0,154.2,626,132,64,59,17,41,1,5,177
10,Zach Eflin,TBR,12,8,3.63,28,28,0,0,165.1,668,154,73,67,20,29,2,6,161
11,Framber Valdez,HOU,14,8,3.4,29,29,0,0,186.2,776,164,77,70,16,61,1,10,186
12,Corbin Burnes,BAL,12,8,3.53,30,30,0,0,188,768,157,80,74,21,57,1,9,202
13,Zac Gallen,ARI,13,9,3.66,30,30,0,0,188,769,166,83,76,22,51,1,8,193
14,Yoshinobu Yamamoto,LAD,12,8,3.71,27,27,0,0,167.2,682,145,75,69,20,45,2,6,178
15,Max Fried,ATL,13,7,3.4,28,28,0,0,163.2,673,152,67,62,17,40,1,5,157
16,Luis Castillo,SEA,13,9,3.54,30,30,0,0,188.1,770,160,80,74,23,57,1,7,200
17,Freddy Peralta,MIL,11,9,3.7,28,28,0,0,161.2,660,129,72,66,21,56,1,7,194
18,Justin Steele,CHC,11,8,3.67,29,29,0,0,170.2,712,160,76,70,18,50,1,7,166
19,Jesús Luzardo,MIA,11,9,3.78,29,29,0,0,168,697,148,77,70,22,55,1,6,191
20,Sonny Gray,STL,10,8,3.64,28,28,0,0,163,680,147,72,66,16,53,1,7,155
21,Tyler Glasnow,LAD,12,6,3.5,24,24,0,0,138.1,558,110,58,54,18,43,0,3,175
22,Blake Snell,,11,8,3.49,28,28,0,0,159.1,668,124,67,62,18,78,1,4,202
23,Logan Gilbert,SEA,12,9,3.82,31,31,0,0,184,749,168,85,78,26,42,2,6,183
24,Mitch Keller,PIT,10,10,4.16,30,30,0,0,180.2,769,173,91,84,21,61,1,10,174
25,Jordan Montgomery,,10,8,3.86,28,28,0,0,168.2,701,161,79,72,21,46,1,5,153
26,Shane Bieber,CLE,10,8,3.79,26,26,0,0,166,684,156,76,70,20,43,0,5,157
27,Bobby Miller,LAD,12,7,3.83,26,26,0,0,152,623,133,70,65,18,42,1,7,149
28,Grayson Rodriguez,BAL,11,8,3.74,28,28,0,0,158.2,655,136,72,66,19,53,1,5,171
29,Dylan Cease,CHW,10,9,4.01,30,30,0,0,173.2,736,150,84,77,23,75,2,7,201
30,Tanner Bibee,CLE,11,8,3.76,28,28,0,0,164.1,682,148,75,69,21,50,1,6,168
31,Cole Ragans,KCR,10,9,3.88,27,27,0,0,159,670,138,75,69,18,66,2,5,171
32,Joe Musgrove,SDP,10,7,3.6,26,26,0,0,156.2,645,140,68,63,20,39,2,11,156
33,Kodai Senga,NYM,10,7,3.69,24,24,0,0,144.1,606,118,64,59,17,63,1,5,167
34,Eduardo Rodriguez,ARI,12,9,3.92,28,28,0,0,162.2,684,154,77,71,19,53,1,5,154
35,Braxton Garrett,MIA,9,9,3.86,28,28,0,0,155.2,653,152,72,67,19,40,2,9,152
36,Joe Ryan,MIN,11,9,4,28,28,0,0,163,665,143,79,72,26,42,1,7,181
37,Michael King,SDP,9,7,3.59,32,23,0,1,135.2,563,118,59,54,16,46,2,6,149
38,Chris Bassitt,TOR,12,10,4.01,29,29,0,0,180,753,167,87,80,25,53,1,11,162
