#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
1,Edwin Díaz,NYM,0,60,61.2,3,2,0,33,1,44,19,6,96,21,14.07,3.11,4.53,0.84,0.196,1.05,0.315,78.40%,2.73,2.54,42.5,3.53,-0.49,2.05
2,Jhoan Duran,MIN,0,61,64,4,3,0,33,2,50,20,5,85,22,12.02,3.15,3.81,0.72,0.212,1.13,0.309,77.60%,2.82,2.84,51.5,2.28,0.2,2.06
3,Pete Fairbanks,TBR,0,54,53.2,3,3,0,29,3,39,17,5,74,20,12.49,3.45,3.62,0.77,0.199,1.1,0.296,76.90%,2.87,2.88,88.7,2.6,-0.09,1.92
4,David Bednar,PIT,0,61,63.2,3,3,0,31,2,53,23,6,76,21,10.71,2.94,3.64,0.87,0.225,1.17,0.303,75.20%,3.24,3.22,64.5,1.85,-0.69,1.96
5,José Alvarado,PHI,0,63,63,3,3,0,23,8,49,22,5,86,30,12.3,4.23,2.91,0.73,0.21,1.24,0.311,77.00%,3.09,3.11,160.9,2.68,-0.36,1.58
6,Emmanuel Clase,CLE,0,65,66,4,4,0,35,1,58,22,5,65,15,8.8,2.01,4.37,0.62,0.231,1.1,0.295,74.10%,2.94,2.95,52.7,1.5,0.07,2.23
7,Tanner Scott,MIA,0,66,66.2,4,3,0,26,5,52,24,5,88,29,11.89,3.9,3.05,0.68,0.213,1.22,0.309,74.90%,3.19,3.08,98,2.5,-0.42,1.64
8,Devin Williams,MIL,0,62,62.1,5,3,0,33,2,43,20,5,89,29,12.84,4.25,3.02,0.79,0.191,1.16,0.288,78.80%,2.83,3.08,43.1,2.45,0.64,1.94
9,A.J. Minter,ATL,0,63,61.1,4,3,0,5,18,52,24,6,76,20,11.17,2.97,3.77,0.94,0.227,1.18,0.31,73.70%,3.46,3.2,452.7,1.79,-1.46,0.81
10,Garrett Whitlock,BOS,4,56,83.1,5,4,1,2,11,81,36,11,84,19,9.07,2,4.53,1.19,0.251,1.2,0.308,71.30%,3.93,3.74,381.9,4.33,-2.08,0.45
11,Ryan Helsley,STL,0,57,60.2,4,3,0,26,4,45,21,6,79,26,11.8,3.82,3.09,0.89,0.205,1.17,0.29,76.90%,3.13,3.29,92.7,2.54,-0.92,1.61
12,Andrés Muñoz,SEA,0,57,57.2,4,4,0,26,4,44,19,5,77,21,12.02,3.33,3.6,0.72,0.207,1.13,0.303,76.00%,2.95,2.92,85,3.54,-0.21,1.69
13,Camilo Doval,SFG,0,62,63.1,4,4,0,31,2,52,23,5,77,27,10.97,3.77,2.91,0.7,0.219,1.23,0.304,74.30%,3.29,3.28,56.3,2.26,-2.55,1.94
14,Matt Brash,SEA,0,58,59.2,4,3,0,11,15,48,22,5,82,27,12.37,4.05,3.06,0.73,0.216,1.25,0.32,75.00%,3.29,3.06,284.9,3.27,-1.28,0.88
15,Bryan Abreu,HOU,0,61,64,3,2,0,3,17,48,22,6,86,28,12.09,3.94,3.07,0.82,0.205,1.19,0.297,77.60%,3.03,3.23,360.3,1.25,1.49,1.05
16,Trevor Megill,MIL,0,53,57,3,2,0,2,9,51,25,7,73,22,11.62,3.41,3.41,1.07,0.236,1.27,0.325,72.40%,3.91,3.47,704.3,4.89,-0.52,0.6
17,Mason Miller,OAK,2,51,61.2,3,3,0,12,8,46,23,6,79,26,11.57,3.78,3.06,0.95,0.206,1.17,0.285,74.30%,3.4,3.48,216.8,6.41,-0.11,1.1
18,Matt Strahm,PHI,1,59,65.1,5,4,0,1,9,56,27,9,77,19,10.6,2.56,4.15,1.2,0.228,1.14,0.296,73.40%,3.65,3.64,497.8,2.26,-0.84,0.74
19,Josh Hader,HOU,0,60,59,3,3,0,34,2,42,20,7,85,26,13.03,4.01,3.25,1.04,0.197,1.16,0.291,79.00%,3.08,3.36,46.5,1.54,0.09,2.14
20,Aroldis Chapman,PIT,0,58,58,4,4,0,4,14,41,21,5,87,35,13.55,5.39,2.51,0.83,0.197,1.31,0.307,76.90%,3.33,3.36,379.9,3.36,-0.45,0.74
21,Yuki Matsui,SDP,0,60,60.2,3,2,0,12,11,49,24,6,77,26,11.4,3.9,2.93,0.9,0.219,1.25,0.304,74.00%,3.54,3.42,999,4.97,-3.04,1.06
22,A.J. Puk,MIA,1,59,62.2,5,4,0,6,12,56,26,8,75,20,10.8,2.81,3.84,1.15,0.235,1.2,0.309,73.70%,3.71,3.63,380.2,2.11,-2.82,0.63
23,Reynaldo López,ATL,2,58,69.2,5,4,1,3,13,61,29,9,80,25,10.3,3.18,3.24,1.13,0.231,1.22,0.298,74.00%,3.71,3.75,455.6,1.54,-0.85,0.54
24,Raisel Iglesias,ATL,0,59,60.1,4,4,0,31,2,52,22,8,72,16,10.8,2.31,4.67,1.15,0.23,1.13,0.303,76.40%,3.33,3.38,60.3,1.47,1.8,1.92
25,Clay Holmes,NYY,0,61,63,4,3,0,29,4,54,23,5,66,23,9.43,3.34,2.82,0.65,0.227,1.22,0.297,73.30%,3.32,3.41,104,1.1,-1.1,1.88
26,Chris Martin,BOS,0,59,58,4,3,0,3,16,57,22,6,57,11,8.87,1.67,5.3,0.96,0.254,1.17,0.315,74.30%,3.42,3.32,460.1,1.82,0.43,0.92
27,Ryan Pressly,HOU,0,60,61.2,4,3,0,5,16,53,23,7,68,17,10.01,2.45,4.09,0.97,0.228,1.13,0.295,73.40%,3.39,3.32,297.3,1.3,1.66,0.92
28,Caleb Ferguson,NYY,1,57,55.1,4,3,0,1,13,48,21,5,63,22,10.27,3.6,2.85,0.84,0.232,1.27,0.308,74.60%,3.49,3.6,736.2,2.49,-0.5,0.76
29,JoJo Romero,STL,0,50,53.2,4,3,0,3,9,47,22,5,59,19,9.95,3.16,3.15,0.79,0.232,1.23,0.306,71.00%,3.68,3.36,675.8,3.55,-1.07,0.72
30,Joe Kelly,LAD,0,54,53.2,3,3,0,2,14,44,22,5,70,24,11.74,4.05,2.9,0.78,0.22,1.27,0.315,71.40%,3.73,3.3,743.3,4.56,-0.57,0.64
31,Hunter Harvey,WSN,0,58,60,3,3,0,13,13,52,24,7,67,17,10.01,2.57,3.89,1.1,0.23,1.15,0.294,73.70%,3.55,3.58,266.5,2.57,-0.22,1.13
32,Jordan Romano,TOR,0,57,59,4,4,0,31,1,49,22,7,69,21,10.59,3.27,3.24,1.05,0.222,1.19,0.292,76.00%,3.4,3.64,70.3,1.89,0.51,1.91
33,Shawn Armstrong,TBR,1,56,62.1,2,2,0,1,10,57,25,7,65,18,9.34,2.57,3.63,1.05,0.239,1.19,0.299,73.30%,3.63,3.72,747.6,2.09,-0.39,0.89
34,Aaron Bummer,ATL,0,58,57.2,4,3,0,1,14,49,24,4,69,27,10.81,4.15,2.61,0.68,0.228,1.32,0.314,70.90%,3.79,3.4,747.6,3.58,-1.77,0.51
35,Evan Phillips,LAD,0,60,61.2,4,3,0,28,4,50,22,7,69,19,10.14,2.7,3.76,1.01,0.219,1.11,0.283,75.90%,3.21,3.52,91.4,2.27,2.22,1.83
36,Brusdar Graterol,LAD,0,60,61,3,2,0,5,16,57,22,5,50,15,7.44,2.22,3.36,0.71,0.243,1.18,0.291,73.40%,3.26,3.53,412.2,1.61,0.8,1.08
37,Jason Adam,TBR,0,56,56.2,3,3,0,11,15,43,21,7,68,19,10.84,3.03,3.57,1.05,0.207,1.09,0.274,74.60%,3.3,3.65,320.1,1.12,0.16,1.15
