#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
1,Spencer Strider,ATL,30,30,178.2,15,6,15,0,0,134,67,20,251,59,12.64,2.98,4.24,1.03,0.206,1.08,0.298,73.00%,3.39,3.05,6.3,5.43,-1.33,1.53
2,Zack Wheeler,PHI,30,30,186.2,13,8,16,0,0,164,73,21,194,44,9.35,2.14,4.37,1.01,0.233,1.12,0.292,72.10%,3.52,3.48,24.8,2.18,-1.35,1.15
3,Logan Webb,SFG,30,30,193,12,10,16,0,0,183,73,16,172,41,8.04,1.91,4.21,0.75,0.246,1.16,0.301,71.60%,3.42,3.31,53,3.43,0.4,1.07
4,Kevin Gausman,TOR,30,30,181.1,12,9,16,0,0,161,69,22,211,48,10.49,2.37,4.42,1.1,0.234,1.15,0.305,75.10%,3.44,3.38,28,3.21,-0.15,1.12
5,Aaron Nola,PHI,30,30,186,12,9,14,0,0,169,80,26,195,41,9.43,1.96,4.81,1.26,0.238,1.12,0.293,70.40%,3.89,3.73,52.6,2.98,-1.46,1.24
6,Pablo López,MIN,30,30,184.2,12,8,15,0,0,162,72,21,204,49,9.95,2.38,4.17,1.05,0.232,1.14,0.297,73.20%,3.52,3.5,35.1,3.58,-0.37,1.08
7,Gerrit Cole,NYY,31,31,195,14,8,17,0,0,164,76,27,218,49,10.09,2.26,4.46,1.26,0.225,1.09,0.283,74.60%,3.51,3.68,13.1,5.22,0.65,1.37
8,George Kirby,SEA,30,30,181.1,12,9,15,0,0,171,72,22,171,27,8.48,1.34,6.32,1.09,0.245,1.09,0.295,71.60%,3.57,3.51,33.8,2.74,-2.85,1.25
9,Tarik Skubal,DET,28,28,154.2,10,9,12,0,0,132,59,17,177,41,10.29,2.38,4.33,0.99,0.228,1.12,0.298,72.90%,3.44,3.3,49.9,3.72,0.09,1.01
10,Zach Eflin,TBR,28,28,165.1,12,8,13,0,0,154,67,20,161,29,8.73,1.59,5.51,1.1,0.243,1.11,0.295,71.40%,3.63,3.54,80.1,3.21,0.18,1.08
