#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
1,Corey Seager,TEX,129,566,501,148,32,1,30,84,88,54,91,5,2,1,9.50%,16.10%,0.247,0.306,0.295,0.366,0.541,0.907,0.382,143,29.8,3.14,1.41,1.09
2,Gunnar Henderson,BAL,143,611,540,141,28,6,26,89,79,62,153,5,12,3,10.10%,25.00%,0.216,0.316,0.261,0.34,0.477,0.818,0.35,126,31.7,1.73,-0.86,0.45
3,Fernando Tatis Jr.,SDP,148,648,576,157,33,2,34,98,95,61,146,5,28,6,9.50%,22.60%,0.24,0.309,0.273,0.346,0.514,0.859,0.364,132,7.9,4.75,-0.59,0.41
4,Bobby Witt Jr.,KCR,152,657,604,169,33,7,29,98,90,40,121,6,42,10,6.00%,18.40%,0.223,0.304,0.28,0.327,0.503,0.83,0.351,122,2.3,3.37,0.53,0.87
5,Francisco Lindor,NYM,153,653,576,146,28,2,27,92,88,61,125,9,22,5,9.30%,19.20%,0.196,0.279,0.254,0.332,0.45,0.781,0.336,112,23.5,2.79,0.24,0.72
6,Marcus Semien,TEX,153,680,609,161,34,3,27,100,86,61,110,4,15,4,9.00%,16.20%,0.198,0.281,0.264,0.333,0.462,0.795,0.341,115,30.5,2.08,0.02,0.64
7,Trea Turner,PHI,153,667,612,172,34,4,23,98,83,45,133,5,28,4,6.70%,19.90%,0.181,0.323,0.28,0.333,0.462,0.794,0.341,113,12.6,2.08,-0.65,0.64
8,Bo Bichette,TOR,146,638,595,173,35,2,22,86,83,36,126,3,11,4,5.60%,19.70%,0.178,0.335,0.291,0.333,0.47,0.803,0.344,121,38.3,1.74,0.22,0.84
9,Dansby Swanson,CHC,151,644,577,148,28,2,24,84,83,57,158,5,11,3,8.90%,24.50%,0.179,0.31,0.256,0.326,0.435,0.761,0.329,107,121.2,3.4,-0.23,0.49
10,Xander Bogaerts,SDP,148,634,564,157,31,1,18,82,72,57,112,7,12,2,8.90%,17.60%,0.157,0.316,0.279,0.349,0.436,0.785,0.34,115,109.3,2.16,-0.01,0.59
11,Ketel Marte,ARI,143,617,545,149,33,5,19,84,76,62,104,6,7,2,10.00%,16.90%,0.184,0.304,0.273,0.35,0.457,0.808,0.348,118,120,3.07,-1.23,0.56
12,Nico Hoerner,CHC,146,640,578,163,28,4,9,83,62,46,78,11,34,7,7.10%,12.20%,0.107,0.311,0.281,0.343,0.389,0.732,0.321,102,65.3,2.35,-3.65,1.6
13,Gleyber Torres,NYY,146,622,555,149,27,1,24,82,77,57,107,3,13,5,9.20%,17.30%,0.181,0.293,0.269,0.338,0.45,0.788,0.34,115,83.8,3.19,-0.78,0.18
14,Willy Adames,MIL,145,618,548,132,29,1,27,78,85,62,161,3,6,2,10.00%,26.00%,0.203,0.29,0.241,0.32,0.445,0.765,0.329,105,182.7,2.16,-0.11,0.94
15,Carlos Correa,MIN,135,575,508,132,28,1,20,70,71,59,121,4,0,0,10.20%,21.10%,0.18,0.301,0.26,0.339,0.44,0.779,0.337,116,247.4,1.27,-0.24,0.49
16,J.P. Crawford,SEA,145,625,538,137,29,1,13,80,58,75,109,7,3,1,11.90%,17.40%,0.129,0.296,0.255,0.351,0.383,0.734,0.326,111,270,2.33,1.41,0.63
17,Matt McLain,CIN,132,581,512,132,28,4,22,80,73,56,158,9,20,5,9.60%,27.10%,0.196,0.33,0.258,0.34,0.454,0.794,0.343,110,67.6,2.47,-0.06,0.42
18,Ha-Seong Kim,SDP,145,601,527,130,26,2,15,74,60,60,115,6,27,6,10.10%,19.10%,0.139,0.287,0.246,0.328,0.385,0.712,0.313,97,87.3,2.58,-0.07,1.1
19,Anthony Volpe,NYY,142,577,514,120,27,3,19,71,65,51,145,7,24,5,8.80%,25.10%,0.178,0.285,0.233,0.309,0.411,0.72,0.313,96,131.4,2.46,0.86,1.1
20,Zach Neto,LAA,132,534,472,117,25,1,18,65,63,40,122,16,9,2,7.40%,22.80%,0.17,0.296,0.248,0.326,0.419,0.744,0.324,103,273.9,4.35,-0.77,0.18
21,Oneil Cruz,PIT,132,566,506,125,24,5,23,80,72,52,155,3,22,5,9.10%,27.40%,0.202,0.306,0.247,0.318,0.449,0.767,0.329,104,79.6,3.43,-0.6,0.72
22,Jorge Polanco,SEA,125,535,473,116,23,1,21,65,68,54,125,4,6,2,10.10%,23.40%,0.185,0.287,0.245,0.324,0.43,0.755,0.327,112,250.1,2.44,-0.21,0.36
23,Jeremy Peña,HOU,144,597,548,143,27,2,15,74,63,36,128,8,13,4,6.10%,21.50%,0.139,0.313,0.261,0.313,0.4,0.713,0.31,97,213.4,2.68,-0.36,0.43
24,Bryson Stott,PHI,141,588,535,142,29,3,13,72,62,42,102,4,22,4,7.20%,17.30%,0.134,0.305,0.266,0.322,0.4,0.722,0.314,95,109.7,3.2,0.35,0.88
25,CJ Abrams,WSN,147,613,563,142,29,4,16,83,62,31,113,12,41,7,5.00%,18.40%,0.149,0.29,0.253,0.304,0.403,0.707,0.306,90,40.7,4.46,-0.06,1.64
26,Jackson Holliday,BAL,118,489,427,111,22,3,9,62,48,55,108,3,10,3,11.20%,22.00%,0.128,0.326,0.259,0.345,0.388,0.733,0.323,107,198.7,3.22,0.14,0.75
27,Tommy Edman,STL,133,542,495,129,27,4,12,72,54,36,88,6,27,5,6.60%,16.30%,0.143,0.294,0.261,0.317,0.404,0.72,0.313,96,175.1,2.45,-0.5,1.15
28,Elly De La Cruz,CIN,133,563,513,128,25,6,20,79,68,44,179,3,36,8,7.80%,31.70%,0.189,0.34,0.249,0.31,0.438,0.749,0.32,95,26.9,2.88,1.19,1.33
29,Vaughn Grissom,BOS,132,532,477,133,27,3,10,65,59,41,90,9,12,3,7.70%,16.80%,0.129,0.324,0.28,0.346,0.409,0.754,0.329,103,228.8,2.89,-0.16,0.96
30,Trevor Story,BOS,122,509,460,110,25,2,18,65,64,40,146,6,20,5,7.80%,28.70%,0.183,0.305,0.238,0.305,0.421,0.726,0.312,91,174.4,4.06,0.21,0.79
31,Luis Rengifo,LAA,132,531,482,124,21,3,17,64,60,37,95,6,8,3,7.00%,17.90%,0.164,0.285,0.256,0.315,0.42,0.735,0.318,99,240.3,2.59,0.32,0.19
32,Orlando Arcia,ATL,128,507,460,115,21,0,17,61,61,39,98,3,2,1,7.80%,19.40%,0.156,0.283,0.251,0.312,0.407,0.719,0.312,93,324.8,4.95,-0.33,0.17
33,Geraldo Perdomo,ARI,119,453,386,93,17,3,6,56,38,51,85,6,13,3,11.20%,18.80%,0.102,0.292,0.24,0.335,0.342,0.677,0.303,88,421.7,3.18,-0.01,0.96
34,Masyn Winn,STL,121,486,440,107,20,3,10,58,48,35,96,3,13,3,7.20%,19.70%,0.128,0.288,0.244,0.301,0.372,0.674,0.294,84,365.6,2.38,-0.48,0.71
35,Ezequiel Tovar,COL,145,611,571,150,33,4,16,78,70,30,149,5,13,4,4.90%,24.40%,0.155,0.328,0.263,0.305,0.418,0.723,0.311,79,187.1,4.07,0.88,0.4
36,Luis Urías,SEA,89,346,299,67,13,1,10,38,36,36,80,8,2,1,10.30%,23.20%,0.152,0.271,0.225,0.322,0.377,0.7,0.31,100,581.1,3.21,-0.31,0.61
37,Chris Taylor,LAD,109,425,374,87,19,2,14,54,52,43,135,5,12,3,10.10%,31.70%,0.172,0.32,0.231,0.317,0.403,0.72,0.314,97,382.6,4,0.02,0.61
38,Amed Rosario,TBR,97,420,394,108,18,4,7,53,45,20,75,3,11,3,4.80%,17.90%,0.123,0.319,0.273,0.311,0.396,0.707,0.307,92,343,8.23,0.1,1.07
39,Jon Berti,MIA,103,391,350,91,16,2,6,48,32,34,79,4,21,5,8.60%,20.10%,0.11,0.317,0.26,0.329,0.369,0.699,0.308,91,428.8,3.38,-0.9,1.5
40,Brayan Rocchio,CLE,100,408,369,91,20,2,6,48,41,30,78,4,11,3,7.30%,19.10%,0.115,0.295,0.247,0.308,0.362,0.67,0.295,87,494.6,3.1,-0.91,0.88
41,Jordan Lawlar,ARI,84,318,284,69,13,2,7,41,32,26,80,5,13,3,8.20%,25.10%,0.138,0.31,0.243,0.315,0.381,0.696,0.305,90,328.8,6.4,0.57,1.16
42,Junior Caminero,TBR,75,316,290,77,12,1,12,38,43,21,65,3,3,1,6.70%,20.60%,0.172,0.304,0.265,0.319,0.437,0.756,0.325,105,252,8.99,0.67,0.93
43,Marco Luciano,SFG,117,453,404,91,18,1,12,49,47,43,143,3,6,1,9.40%,31.50%,0.141,0.312,0.224,0.302,0.366,0.667,0.294,83,999,2.33,-0.13,0.5
44,Javier Báez,DET,132,539,502,121,23,3,14,61,61,25,134,8,11,3,4.70%,24.80%,0.144,0.299,0.241,0.287,0.386,0.672,0.291,82,389.6,2.66,0.27,0.43
45,Tim Anderson,MIA,125,539,507,140,24,2,7,65,45,25,114,4,15,4,4.60%,21.20%,0.093,0.344,0.276,0.314,0.369,0.684,0.3,86,338.1,3.59,-2.16,1.25
46,Darell Hernaiz,OAK,88,352,322,80,16,2,5,37,31,21,61,3,8,2,6.10%,17.30%,0.106,0.291,0.249,0.3,0.355,0.655,0.287,84,999,3.3,-1.52,1.12
47,Jean Segura,CLE,65,262,239,63,10,1,5,29,25,17,40,3,6,2,6.60%,15.20%,0.116,0.294,0.262,0.32,0.378,0.698,0.306,92,746,4.03,-0.55,1.38
48,Elvis Andrus,ARI,75,292,269,67,13,1,5,33,29,18,50,3,8,2,6.20%,17.00%,0.118,0.287,0.25,0.302,0.367,0.669,0.293,83,710,5.32,0.37,1.22
49,Isiah Kiner-Falefa,TOR,93,356,325,83,14,1,4,40,32,23,59,4,13,4,6.50%,16.50%,0.088,0.299,0.256,0.311,0.344,0.655,0.29,83,521.2,2.34,-0.15,1.32
50,Brandon Crawford,STL,81,311,277,65,13,1,9,35,36,27,73,4,3,1,8.70%,23.50%,0.146,0.285,0.235,0.308,0.381,0.689,0.3,87,730.9,2.53,0.5,0.78
51,Kyle Farmer,MIN,73,279,254,63,12,1,6,32,32,16,58,6,2,1,5.70%,20.60%,0.13,0.293,0.247,0.305,0.377,0.682,0.298,89,480.4,3.47,-0.2,1.01
52,Gabriel Arias,CLE,78,281,255,59,12,1,8,31,29,21,81,2,3,1,7.50%,28.90%,0.145,0.308,0.232,0.296,0.378,0.673,0.294,87,573.1,4.36,-0.96,0.97
